Date;Auto_sales
09/01/2016 00:00;556,3
10/01/2016 00:00;507,2
11/01/2016 00:00;509,1
12/01/2016 00:00;601,3
01/01/2017 00:00;412,9
02/01/2017 00:00;484,3
03/01/2017 00:00;590,6
04/01/2017 00:00;538,5
05/01/2017 00:00;562,7
06/01/2017 00:00;521,9
07/01/2017 00:00;501,9
08/01/2017 00:00;523,4
09/01/2017 00:00;535,5
10/01/2017 00:00;459,2
11/01/2017 00:00;462
12/01/2017 00:00;496,3
01/01/2018 00:00;366,4
02/01/2018 00:00;422,3
03/01/2018 00:00;537,6
04/01/2018 00:00;429,1
05/01/2018 00:00;513,7
06/01/2018 00:00;483,5
07/01/2018 00:00;417,2
08/01/2018 00:00;441,3
09/01/2018 00:00;430,3
10/01/2018 00:00;420,4
11/01/2018 00:00;401,3
12/01/2018 00:00;447,1
01/01/2019 00:00;353,6
02/01/2019 00:00;365,5
03/01/2019 00:00;483
04/01/2019 00:00;395,6
05/01/2019 00:00;455
06/01/2019 00:00;440
07/01/2019 00:00;382,9
08/01/2019 00:00;434,2
09/01/2019 00:00;339,5
10/01/2019 00:00;343,8
11/01/2019 00:00;352,6
12/01/2019 00:00;374,1
01/01/2020 00:00;293,2
02/01/2020 00:00;346,5
03/01/2020 00:00;264,7
04/01/2020 00:00;166,4
05/01/2020 00:00;258,5
06/01/2020 00:00;251,2
07/01/2020 00:00;292,6
08/01/2020 00:00;299,8
09/01/2020 00:00;304,8
10/01/2020 00:00;313,6
11/01/2020 00:00;277,6
12/01/2020 00:00;332,9
01/01/2021 00:00;247,5
02/01/2021 00:00;262,2
03/01/2021 00:00;364,9
04/01/2021 00:00;348,5
